method,pdt,repl,type,mrae
latc,0.3,100,overall,0.004265824937228357
latc,0.3,100,w,0.004162878583241063
latc,0.3,100,o,0.004429727305942959
latc,0.3,11,overall,0.004252703173023248
latc,0.3,11,w,0.004184348279084567
latc,0.3,11,o,0.004360153391586433
latc,0.3,12,overall,0.004279101176428245
latc,0.3,12,w,0.004225387506799073
latc,0.3,12,o,0.004364535462013785
latc,0.3,13,overall,0.0043706816411129955
latc,0.3,13,w,0.004437523515017368
latc,0.3,13,o,0.004264345213034489
latc,0.3,14,overall,0.0042940286581303585
latc,0.3,14,w,0.0042861415109195986
latc,0.3,14,o,0.004306573277209959
latc,0.3,15,overall,0.004266737881342381
latc,0.3,15,w,0.004222567145570115
latc,0.3,15,o,0.004336872620816504
latc,0.3,16,overall,0.004321230337425089
latc,0.3,16,w,0.004323345761166165
latc,0.3,16,o,0.004317836898092325
latc,0.3,17,overall,0.0042624020779263895
latc,0.3,17,w,0.004199535284364043
latc,0.3,17,o,0.004361878880516458
latc,0.3,18,overall,0.004278845186873734
latc,0.3,18,w,0.004290914195027276
latc,0.3,18,o,0.004259480945201669
latc,0.3,19,overall,0.0043673002803831
latc,0.3,19,w,0.004348291954992825
latc,0.3,19,o,0.0043976822762400196
latc,0.3,2,overall,0.00432837776876957
latc,0.3,2,w,0.0043077730321581026
latc,0.3,2,o,0.004360998656634128
latc,0.3,20,overall,0.00435996225265506
latc,0.3,20,w,0.0044106237781469755
latc,0.3,20,o,0.004279509391442543
latc,0.3,21,overall,0.004308181424576085
latc,0.3,21,w,0.004350073123551624
latc,0.3,21,o,0.0042417466691108624
latc,0.3,22,overall,0.00430012133604485
latc,0.3,22,w,0.004263210995389673
latc,0.3,22,o,0.004358501965740982
latc,0.3,23,overall,0.0042702963752600295
latc,0.3,23,w,0.00421993479794781
latc,0.3,23,o,0.004348693932745093
latc,0.3,24,overall,0.004266681464726493
latc,0.3,24,w,0.0042433620878749015
